"timestamp","emoji","count"
"2021-12-30T17:26:28.450000+00:00","🤣","1"
"2021-12-30T00:05:50.007000+00:00","🤣","1"
"2021-12-28T18:47:49.889000+00:00","🤣","4"
"2021-12-28T18:47:10.541000+00:00","🤣","1"
"2021-12-23T20:57:26.287000+00:00","🤣","1"
"2021-12-21T19:31:10.554000+00:00","🤣","1"
"2021-12-21T17:14:21.969000+00:00","🤣","2"
"2021-12-14T21:35:02.917000+00:00","🤣","3"
"2021-12-14T00:21:58.853000+00:00","🤣","1"
"2021-12-10T21:56:32.207000+00:00","😂","3"
"2021-12-10T21:45:52.759000+00:00","😂","2"
"2021-12-09T01:50:04.990000+00:00","🤣","2"
"2021-12-08T16:34:56.388000+00:00","🤣","1"
"2021-12-06T19:00:02.742000+00:00","😂","1"
"2021-12-04T01:00:10.312000+00:00","🤣","1"
"2021-12-04T00:59:31.682000+00:00","🤣","1"
"2021-12-03T18:45:13.900000+00:00","😂","2"
"2021-12-03T18:32:47.814000+00:00","🤣","3"
"2021-12-02T17:09:16.049000+00:00","🤣","1"
"2021-11-30T19:36:48.848000+00:00","🤣","1"
"2021-11-30T19:30:22.158000+00:00","🤣","1"
"2021-11-30T18:53:21.520000+00:00","🤣","1"
"2021-11-29T20:11:58.422000+00:00","🤣","2"
"2021-11-29T20:05:37.519000+00:00","🤣","1"
"2021-11-29T14:04:49.361000+00:00","😂","3"
"2021-11-29T13:59:03.159000+00:00","🤣","2"
"2021-11-18T20:14:08.932000+00:00","🤣","1"
"2021-11-16T21:56:14.913000+00:00","🤣","1"
"2021-11-11T23:58:51.591000+00:00","🤣","3"
"2021-11-10T18:10:49.094000+00:00","🤣","1"
"2021-11-08T21:41:44.392000+00:00","🤣","2"
"2021-11-08T21:41:42.193000+00:00","🤣","3"
"2021-11-08T21:41:24.112000+00:00","🤣","3"
"2021-11-08T20:41:22.434000+00:00","😂","1"
"2021-11-08T18:04:22.515000+00:00","🤣","3"
"2021-11-04T18:36:19.793000+00:00","🤣","1"
"2021-11-04T15:27:49.839000+00:00","😂","1"
"2021-11-02T14:43:21.008000+00:00","🤣","4"
"2021-11-01T15:08:16.105000+00:00","🤣","2"
"2021-11-01T15:00:15.764000+00:00","😂","3"
"2021-11-01T14:28:10.191000+00:00","😂","1"
"2021-10-29T21:28:06.533000+00:00","🤣","1"
"2021-10-29T20:51:38.347000+00:00","🤣","1"
"2021-10-29T16:02:46.202000+00:00","😂","1"
"2021-10-29T14:17:29.404000+00:00","🤣","1"
"2021-10-28T20:34:32.856000+00:00","😂","2"
"2021-10-28T17:59:48.449000+00:00","😂","1"
"2021-10-28T17:32:29.046000+00:00","🤣","1"
"2021-10-28T16:53:46.633000+00:00","🤣","1"
"2021-10-28T15:47:46.768000+00:00","🤣","1"
"2021-10-28T15:05:17.675000+00:00","🤣","1"
"2021-10-27T20:57:23.164000+00:00","🤣","1"
"2021-10-27T20:43:00.048000+00:00","🤣","3"
"2021-10-27T20:42:49.117000+00:00","🤣","2"
"2021-10-27T19:37:00.172000+00:00","😂","1"
"2021-10-27T19:36:14.979000+00:00","🤣","1"
"2021-10-27T19:29:01.057000+00:00","😂","1"
"2021-10-27T19:05:40.017000+00:00","😂","1"
"2021-10-27T18:53:14.138000+00:00","🤣","1"
"2021-10-27T15:50:57.564000+00:00","🤣","1"
"2021-10-27T15:31:57.179000+00:00","🤣","1"
"2021-10-27T15:18:34.324000+00:00","🤣","1"
"2021-10-27T15:11:41.309000+00:00","🤣","1"
"2021-10-27T14:57:36.443000+00:00","🤣","3"
"2021-10-27T14:48:42.191000+00:00","😂","1"
"2021-10-27T14:39:17.238000+00:00","😂","2"
"2021-10-27T12:53:19.582000+00:00","🤣","1"
"2021-10-26T20:08:04.939000+00:00","😂","3"
"2021-10-26T20:00:48.481000+00:00","😂","3"
"2021-10-26T19:39:59.388000+00:00","🤣","3"
"2021-10-26T19:31:27.851000+00:00","🤣","1"
"2021-10-26T19:30:24.412000+00:00","🤣","2"
"2021-10-26T17:26:35.457000+00:00","😂","1"
"2021-10-26T17:20:30.673000+00:00","🤣","1"
"2021-10-26T17:13:19.841000+00:00","🤣","1"
"2021-10-26T17:11:24.450000+00:00","🤣","1"
"2021-10-26T15:26:56.023000+00:00","🤣","1"
"2021-10-26T15:25:40.136000+00:00","🤣","1"
"2021-10-26T14:20:10.615000+00:00","🤣","2"
"2021-10-26T13:51:03.453000+00:00","🤣","1"
"2021-10-20T16:43:05.578000+00:00","🤣","1"
"2021-10-20T16:35:17.922000+00:00","🤣","1"
"2021-10-20T16:35:10.818000+00:00","🤣","2"
"2021-10-20T16:34:44.413000+00:00","🤣","2"
"2021-10-20T16:26:03.835000+00:00","🤣","1"
"2021-10-20T16:19:37.087000+00:00","🤣","1"
"2021-10-20T16:06:32.419000+00:00","🤣","1"
"2021-10-20T15:59:45.846000+00:00","🤣","1"
"2021-10-18T15:46:59.847000+00:00","😂","2"
